#,id,liczba_pasazerow,roznica_rek
1103,2084291,1,125
1104,2083854,1,125
1105,2086837,1,125
1106,2083876,1,125
1107,2084500,3,490
1108,2084502,2,250
1109,2084499,2,250
1110,2092697,1,125
1111,2086896,1,125
1112,2084724,1,125
1113,2089971,1,125
1114,2044597,1,125
1115,2084878,1,125
1116,2087080,1,125
1117,2087132,1,125
1118,2085108,1,125
1119,2096363,1,125
1120,2044734,2,250
1121,2087192,1,125
1122,2092837,1,125
1123,2087419,1,125
1124,2092865,1,125
1125,2096470,1,125
1126,2049930,2,250
1127,2087698,1,125
1128,2087688,1,125
1129,2087855,1,125
1130,2090647,1,125
1131,2092996,1,125
1132,2096540,1,125
1133,2092600,1,50
1134,2090663,1,125
1135,2096593,1,125
1136,2090703,1,125
1137,2088256,1,125
1138,2096616,1,125
1139,2088294,1,125
1140,2090802,1,125
1141,2093122,1,125
1142,2048232,2,250
1143,2055030,2,400
1144,2090852,1,125
1145,2059791,3,325
1146,2048028,2,250
1147,2093165,1,125
1148,2048315,2,250
1149,2048036,2,250
1150,2048068,2,250
1151,2088965,1,125
1152,2048189,2,250
1153,2048203,2,250
1154,2091188,1,125
1155,2048270,2,250
1156,2091318,1,125
1157,2048222,2,250
1158,2050496,2,250
1159,2051243,2,250
1160,33297,2,1200
1161,2050601,2,250
1162,2093740,1,125
1163,2091665,1,125
1164,2096996,1,125
1165,2045670,2,250
1166,2095197,1,125
1167,2095334,1,125
1168,2095463,1,125
1169,2095742,1,125
1170,29332,2,250
1171,55116,2,600
1172,2045075,2,250
1173,2053774,2,250
1174,2048736,2,250
1175,2048958,2,250
1176,2048913,2,250
1177,2046340,2,250
1178,2041209,2,250
1179,2052466,2,250
1180,2046665,2,250
1181,2047019,2,250
1182,2044624,2,250
1183,2044620,2,250
1184,2044627,2,250
1185,2044683,2,250
1186,2044630,2,250
1187,2094603,1,125
1188,2100904,1,125
1189,2037259,1,1
1190,2101144,1,125
1191,2053527,2,250
1192,2001251,1,200
